contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,msg,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,1.030537455,0.281645005,Inf,1,0.110064256,0.912358415,1.030537455,0.051013895,0.049502223,tumor16SProximity_v3,ACSL5,NA,61,0.032478632,1755,19,0.06360424,283,0.976863865,0.043396941,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.842761871,1.883896501,Inf,1,1.576546043,0.114900016,2.842761871,0.021904694,0.007705427,tumor16SProximity_v3,ACSM2A,NA,27,0.013105413,1755,3,0.010600707,283,0.478617618,1.507293254,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.702080193,0.62458333,Inf,1,1.449371537,0.147233853,1.702080193,0.043525575,0.025571989,tumor16SProximity_v3,ACSM3,NA,51,0.027350427,1755,10,0.03180212,283,0.515293119,0.76729901,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.943108583,0.239064255,Inf,1,-0.231073888,0.8172574,0.943108583,0.055778323,0.059143055,tumor16SProximity_v3,ACSS1,NA,66,0.036467236,1755,23,0.074204947,283,0.941463095,-0.084504212,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.174366101,0.881733632,Inf,1,1.91544353,0.055435964,2.174366101,0.039285163,0.01806741,tumor16SProximity_v3,ACSS2,NA,47,0.026780627,1755,7,0.024734982,283,0.420541115,1.120594869,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.941933157,0.452594331,Inf,1,-0.124498578,0.900920526,0.941933157,0.014194427,0.015069463,tumor16SProximity_v3,ACSS3,NA,18,0.01025641,1755,6,0.021201413,283,0.974333545,-0.08630341,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.420646346,0.487614803,Inf,1,1.022950685,0.306331163,1.420646346,0.04503397,0.031699635,tumor16SProximity_v3,ACTA2,NA,55,0.027920228,1755,12,0.042402827,283,0.651349022,0.506547456,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,3.357154678,2.103628001,Inf,1,1.932770048,0.053264532,3.357154678,0.027626231,0.008229061,tumor16SProximity_v3,ACTG2,NA,31,0.016524217,1755,3,0.010600707,283,0.420235801,1.747239009,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.202065454,0.491585453,Inf,1,0.450032999,0.652686647,1.202065454,0.027993621,0.023287934,tumor16SProximity_v3,ACTL6A,NA,31,0.016524217,1755,9,0.03180212,283,0.867862372,0.265515455,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.113772426,0.193948753,Inf,1,0.61878272,0.536059508,1.113772426,0.135141672,0.12133688,tumor16SProximity_v3,ACTN1,NA,163,0.079202279,1755,47,0.151943463,283,0.802012517,0.155454481,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.797932995,0.102659605,Inf,1,-1.754516141,0.079342107,0.797932995,0.195068689,0.244467506,tumor16SProximity_v3,ACTN4,NA,238,0.105413105,1755,95,0.254416961,283,0.439078166,-0.325660491,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.516968817,0.48939136,Inf,1,1.291690894,0.196464212,1.516968817,0.048138423,0.031733297,tumor16SProximity_v3,ACTR10,NA,57,0.02962963,1755,12,0.042402827,283,0.561164251,0.60119143,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.224649793,0.411489753,Inf,1,0.603128761,0.546423034,1.224649793,0.037823788,0.030885391,tumor16SProximity_v3,ACTR1A,NA,45,0.023931624,1755,12,0.038869258,283,0.806567945,0.292369247,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.195138964,0.212060744,Inf,1,1.004657514,0.315061793,1.195138964,0.132428713,0.110806121,tumor16SProximity_v3,ACTR1B,NA,163,0.076353276,1755,43,0.144876325,283,0.656549009,0.257178376,NS or |log2FC| < 1
