"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.9224","MUL1","BrM","High - Low",0.590698502586342,0.290701660460707,0.527144034976707
"High...Low.9225","SAP130","BrM","High - Low",0.555899849718648,0.139725901245294,0.345633453474166
"High...Low.9226","ADIPOR2","BrM","High - Low",1.81581148696024,0.00654407892106498,0.0573991624487141
"High...Low.9227","CERS4","BrM","High - Low",0.366533520920835,0.602208473841467,0.775163455100842
"High...Low.9228","FAM118B","BrM","High - Low",0.100069307887625,0.596985395148663,0.771531240473884
"High...Low.9229","VCPKMT","BrM","High - Low",0.096391935325103,0.75602713338311,0.870520131360469
"High...Low.9230","ACSS3","BrM","High - Low",-0.84352009463379,0.304424306442908,0.540013347144936
"High...Low.9231","TANGO6","BrM","High - Low",1.14588701536674,0.075880534575401,0.240464785480649
"High...Low.9232","CCNJL","BrM","High - Low",-0.680366038537685,0.279902175364363,0.516600452948211
"High...Low.9233","HMBOX1","BrM","High - Low",0.831843133495868,0.0973963638216408,0.277453701866169
"High...Low.9234","GALNT14","BrM","High - Low",-0.640632433346246,0.334382903474791,0.570003267894765
"High...Low.9235","ARMT1","BrM","High - Low",1.20522445025063,0.0175655486146126,0.104349055251987
"High...Low.9236","TNFAIP8L2","BrM","High - Low",-1.34984287878656,0.0629834653581344,0.216815620167397
"High...Low.9237","OGFRL1","BrM","High - Low",0.09965081414599,0.842532920644074,0.91637381278737
"High...Low.9238","SH3TC2","BrM","High - Low",-0.555650389736546,0.434821523238272,0.655441559110379
"High...Low.9239","OCEL1","BrM","High - Low",-0.174360541344228,0.633653811742861,0.79626487256648
"High...Low.9240","C1orf54","BrM","High - Low",-0.189559359418707,0.798620049740519,0.893355791081607
"High...Low.9241","EFL1","BrM","High - Low",-0.0602668147923205,0.809658823627488,0.899478038795248
"High...Low.9242","FAT4","BrM","High - Low",-0.492062711061526,0.528097856519496,0.725246786365736
"High...Low.9243","ROGDI","BrM","High - Low",-0.0715302315604251,0.877382173231781,0.935348365732882
"High...Low.9244","CHMP6","BrM","High - Low",0.485189097346154,0.182785923288684,0.404808463955784
"High...Low.9245","SRD5A3","BrM","High - Low",0.0613852135968883,0.822861179532542,0.90645414493417
"High...Low.9246","PANK3","BrM","High - Low",0.428918583572062,0.0279179524703917,0.134494543753712
"High...Low.9247","MCPH1","BrM","High - Low",0.677864384331868,0.155375015297461,0.368223410463954
"High...Low.9248","MAP7D3","BrM","High - Low",1.12879788518788,0.0259534036902017,0.129304885194417
"High...Low.9249","USB1","BrM","High - Low",0.537345489408048,0.203837227856461,0.430397971898548
